Chunk_ID,Document_ID,Category,Entity_Type,Entity_Name,Chunk_Type,Char_Count,Token_Estimate,Embedding_Model,Embedding_Dimension,Created_Date,Last_Updated,Version,Status,Quality_Score,Retrieval_Count,Avg_Relevance_Score,Notes,Chunk_Text
CAND_07D3A45DF1_CHUNK_01,CAND_07D3A45DF1,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 4,878,124,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,74.36,0,74.36,"facet=policy, incentives, and localization r and ChargePoint, a provider of electric vehicle charging networks, to deliver one of the Southeast’s largest EV-charging single property installations, near Hartsfield-Jackson Atlanta International Airport. “As more businesses seek to red","r and ChargePoint, a provider of electric vehicle charging networks, to deliver one of the Southeast’s largest EV-charging single property installations, near Hartsfield-Jackson Atlanta International Airport. “As more businesses seek to reduce their carbon footprint, smart policies have allowed us to promote renewable power development and offer a comprehensive portfolio of clean energy options that give Georgia a competitive edge in attracting leading businesses across industries,” says GDEcD Commissioner Pat Wilson. Learn more about our rapidly growing EV supply chain at [/node/52681](/EV ""Georgia Electric Vehicle Manufacturing"") ## Related Content September 13, 2024 Gov. Kemp Celebrates Top State for Business Ranking at Workforce Summit August 29, 2024 Gov Kemp: Georgia Job Creation Remains Strong May 23, 2024 Three Investments Spring to Life in Augusta [More](/)"
CAND_07D3A45DF1_CHUNK_02,CAND_07D3A45DF1,Supply Chain Evidence,Facet,who makes what where at what scale,segment 3,1232,164,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,73.0,0,73.0,"facet=who makes what where at what scale electric vehicle and battery ecosystem in the state. Proximity to partners like SK Battery America is essential in the sustainable battery materials industry,” says Roger Lin, Ascend’s Vice President of Marketing and Government Relations. A","electric vehicle and battery ecosystem in the state. Proximity to partners like SK Battery America is essential in the sustainable battery materials industry,” says Roger Lin, Ascend’s Vice President of Marketing and Government Relations. Additionally, Germany’s Aurubis, a leading recycler of copper, precious metals, and non-ferrous materials worldwide, will open a $340 million plant in Georgia to process complex metal-bearing materials and return them to use. ![Aurubis Plant](/sites/default/files/inline-images/SelectBlog03.png) Georgia is also committed to building out a charging infrastructure, a critical asset needed to encourage drivers to switch to EV. This commitment is also attracting innovative EV-related companies. Netherlands-based Heliox, a global leader in producing fast-charging systems for electric vehicles, including public transport as well as passenger and commercial vehicles, plans to establish its North American headquarters in Atlanta. Also contributing to the charging infrastructure are existing Georgia companies like Siemens, which has partnered with Canadian company Nexii to develop a weather-proof, efficient charging structure. Pivet, a Cox Automotive brand, has partnered with Georgia Powe"
CAND_07D3A45DF1_CHUNK_03,CAND_07D3A45DF1,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,1257,172,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,72.2,0,72.2,"facet=who makes what where at what scale arrival of Rivian and SK Battery America, has grown exponentially. Within the last five years, more than 75 automotive-related companies, many international, have located or expanded operations in Georgia. Korean manufacturer Enchem, SK’s f","arrival of Rivian and SK Battery America, has grown exponentially. Within the last five years, more than 75 automotive-related companies, many international, have located or expanded operations in Georgia. Korean manufacturer Enchem, SK’s first announced supplier, plans to build two plants nearby. Enchem develops and makes electrolytes for rechargeable batteries and electrostatic double-layer capacitors (ELDCs) to meet the increasing demand for EV batteries and energy storage systems. Duckyang, another Korean supplier, plans a facility near SK to make electric mobility parts for automotive battery modules and energy storage systems. EcoPro BM, a Korea-based company with a presence in Georgia, will supply SK with 100,000 tons of nickel cathode annually. GEDIA Automotive Group of Germany chose Georgia for its first advanced manufacturing plant in the Southeast. The plant will make lightweight parts for electric vehicles including Volkswagen, BMW, Mercedes-Benz, Volvo, and others. ![Electric Vehicle](/sites/default/files/inline-images/SelectBlog02.png)Existing companies in Georgia also contribute to the e-mobility ecosystem. For years the state has been the leading manufacturing center for golf carts, and school bus manufacturer Blue Bird i"
CAND_07D3A45DF1_CHUNK_04,CAND_07D3A45DF1,Supply Chain Evidence,Facet,who makes what where at what scale,segment 3,1290,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,71.79,0,71.79,"facet=who makes what where at what scale ntroduced its all-electric bus in 2018. Other Georgia advanced manufacturers that produce lightweight parts for EVs include Solvay, which makes thermoplastic composites; Panasonic, creating smart mobility safety and vehicle infotainment fea","ntroduced its all-electric bus in 2018. Other Georgia advanced manufacturers that produce lightweight parts for EVs include Solvay, which makes thermoplastic composites; Panasonic, creating smart mobility safety and vehicle infotainment features; Nifco KTW, molding lightweight plastic components; and YKK USA, which manufactures fasteners for EV interiors for the Japanese company. While electric vehicles reduce the carbon footprint, repurposing materials is critical to a truly sustainable future, and recycling companies drawn to Georgia bring the supply chain full circle. Ascend Elements has announced a commercial-scale battery recycling plant that can process the equivalent of 70,000 vehicle batteries per year. Its innovative recycling process will extract and return to the supply chain critically scarce materials like lithium, cobalt, and nickel from batteries, reducing the need to find new sources. “We selected Georgia primarily because of the growing electric vehicle and battery ecosystem in the state. Proximity to partners like SK Battery America is essential in the sustainable battery materials industry,” says Roger Lin, Ascend’s Vice President of Marketing and Government Relations. Additionally, Germany’s Aurubis, a leading recycler of copper, precious metals, and"
CAND_07D3A45DF1_CHUNK_05,CAND_07D3A45DF1,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,1260,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,68.23,0,68.23,"facet=who makes what where at what scale Hyundai Motor Group selected the state for its first fully dedicated electric vehicle (EV) and battery manufacturing facility. The company's $5.54 billion manufacturing facility will have production capacity of 300,000 annually. In 2021, Ri","Hyundai Motor Group selected the state for its first fully dedicated electric vehicle (EV) and battery manufacturing facility. The company's $5.54 billion manufacturing facility will have production capacity of 300,000 annually. In 2021, Rivian selected Georgia to locate a $5 billion carbon-conscious EV manufacturing plant able to produce up to 400,000 vehicles annually. Georgia’s robust infrastructure and work on speed-to-market needs, ability to meet renewable energy and sustainability goals, and availability of quality talent were key decision points. Rivian has developed and vertically integrated a connected electric platform that supports a range of applications, including the company’s adventure products as well as B2B products such as its last-mile delivery vans, launched in partnership with Amazon. Georgia is at the center of the rapidly expanding Southeast Automotive Alley, and its rich EV ecosystem, accelerated by the arrival of Rivian and SK Battery America, has grown exponentially. Within the last five years, more than 75 automotive-related companies, many international, have located or expanded operations in Georgia. Korean manufacturer Enchem, SK’s first announced supplier, plans to build two plants nearby. Enchem develops and"
CAND_74D732B96B_CHUNK_01,CAND_74D732B96B,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 2,1111,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,67.98,0,67.98,"facet=policy, incentives, and localization aking, since 2018, projects related to the e-mobility supply chain have created about 32,200 new jobs in Georgia and $27 billion in investment.” Hyundai Leads New EV Investment The largest of these projects – the Hyundai Metaplant in Ellabe","aking, since 2018, projects related to the e-mobility supply chain have created about 32,200 new jobs in Georgia and $27 billion in investment.” Hyundai Leads New EV Investment The largest of these projects – the Hyundai Metaplant in Ellabell in Bryan County – is actually ahead of schedule. The project, announced in 2022, now represents an investment of more than $7.5 billion in Georgia, counting investments by suppliers and partners including a venture with Korean conglomerate LG Energy Systems to make battery packs at the site. The plant has made “incredible progress” since breaking ground in October 2022, says Chris Smith, chief project implementation officer and general counsel of Hyundai Motor Group Metaplant America. In February, Hyundai made it official: the first EVs will be produced in the fourth quarter of 2024, ahead of the previous announced 2025 target. Smith notes that the start of production will not mean the facility will be complete by 2024. The battery joint venture will come online sometime in 2025, he says. “Once up to full capacity, the metaplant has the capacity to produce"
CAND_74D732B96B_CHUNK_02,CAND_74D732B96B,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,511,84,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,66.33,0,66.33,"facet=who makes what where at what scale from bumpers to tires and, of course, batteries. Growth in manufacturing attracts new suppliers and promotes expansion by existing suppliers, bringing jobs to areas that often need them the most. The majority of these jobs are outside the A","from bumpers to tires and, of course, batteries. Growth in manufacturing attracts new suppliers and promotes expansion by existing suppliers, bringing jobs to areas that often need them the most. The majority of these jobs are outside the Atlanta-Fulton County area, says Brigman. “We celebrate every time we land a project in a community. We want people to be able to live in the community they want to be in. Communities are instrumental in helping us recruit the projects,” she says. Recent supplier announce"
CAND_74D732B96B_CHUNK_03,CAND_74D732B96B,Supply Chain Evidence,Facet,who makes what where at what scale,segment 1,544,81,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,65.14,0,65.14,"facet=who makes what where at what scale to produce 300,000 vehicles a year.” Chris Smith, chief project implementation officer and general counsel, Hyundai Motor Group Metaplant America The large EV projects are bringing a host of battery manufacturers and other automotive suppli","to produce 300,000 vehicles a year.” Chris Smith, chief project implementation officer and general counsel, Hyundai Motor Group Metaplant America The large EV projects are bringing a host of battery manufacturers and other automotive suppliers to the state, from Metro Atlanta to the west central region to Southeast Georgia. “Today, the five largest projects in the state’s history have all been related to e-mobility,” says Kristi Brigman, deputy commissioner of global commerce at the Georgia Department of Economic Development. “Broadly spe"
CAND_74D732B96B_CHUNK_04,CAND_74D732B96B,Supply Chain Evidence,Facet,who makes what where at what scale,segment 2,1136,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,64.99,0,64.99,"facet=who makes what where at what scale previous announced 2025 target. Smith notes that the start of production will not mean the facility will be complete by 2024. The battery joint venture will come online sometime in 2025, he says. “Once up to full capacity, the metaplant has","previous announced 2025 target. Smith notes that the start of production will not mean the facility will be complete by 2024. The battery joint venture will come online sometime in 2025, he says. “Once up to full capacity, the metaplant has the capacity to produce 300,000 vehicles a year,” Smith says. “If the demand dictates, there is room to expand the facility to produce 500,000 vehicles.” At full employment, Smith says there will be 8,500 Hyundai Motor Group employees onsite at the plant. Coming Soon: Rendering of Anovion Technologies’ new manufacturing plant in Decatur County, to be completed in 2025. | Photo credit: contributed Suppliers Bring Jobs and Dollars The manufacturing plants themselves represent only a portion of the investment and jobs created by their presence, however. Making EVs requires a ready supply of parts from bumpers to tires and, of course, batteries. Growth in manufacturing attracts new suppliers and promotes expansion by existing suppliers, bringing jobs to areas that often need them the most. The majority of these jobs are outside the Atlanta-Fulton County area, says Brigman. “We celebrate"
CAND_74D732B96B_CHUNK_05,CAND_74D732B96B,Supply Chain Evidence,Facet,"policy, incentives, and localization",segment 3,473,74,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,63.88,0,63.88,"facet=policy, incentives, and localization by Woory Industrial Co., Ltd. will create more than 130 new jobs and an estimated $18 million in investment in Dublin-Laurens County. The facility, the company’s first in the U.S., will produce electrical heaters, control units, and actuato","by Woory Industrial Co., Ltd. will create more than 130 new jobs and an estimated $18 million in investment in Dublin-Laurens County. The facility, the company’s first in the U.S., will produce electrical heaters, control units, and actuators for both EV and traditional carmakers in North America. “…We have the reputation as a very business-friendly environment. Our logistics network, which means our rail, our airport and our port, is absolutely critical to our growth."
CAND_85D8AF04E6_CHUNK_01,CAND_85D8AF04E6,Policy and Localization,Facet,who makes what where at what scale,page 5,1157,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,70.68,0,70.68,"page=5 facet=who makes what where at what scale out of a domestic supply chain is the Biden Administra- tion’s Build America, Buy America (BABA) standards. Written into IIJA, BABA enacts a “made in America” requirement for many infrastructure projects across both IIJA and IRA, including","out of a domestic supply chain is the Biden Administra- tion’s Build America, Buy America (BABA) standards. Written into IIJA, BABA enacts a “made in America” requirement for many infrastructure projects across both IIJA and IRA, including EV and charging infrastructure. Specifically, to access some federal incentives, products must be manufactured within the United States and greater than 55 percent of the cost of a product’s components must be sourced from U.S.-based factories. BABA provides foreign firms with a financial incentive to site their facilities domestically, creating jobs. EV Labor in Georgia Nearly 24,000 EV and battery manufacturing jobs have been announced in Georgia since IIJA’s passage. Increasing demand for an EV automaking workforce has the potential to grow local economies as Georgia becomes a central node for U.S. EV manufacturing. As these jobs are realized, it is important to assess their quality and workforce readiness. Right to work and unions in Georgia Historically, unions in the automaking industry have been strong. This is not true in Georgia at large. 4.6 percent of Georgia’s workforce is in a union compared"
CAND_85D8AF04E6_CHUNK_02,CAND_85D8AF04E6,Policy and Localization,Facet,who makes what where at what scale,page 3,1194,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,68.48,0,68.48,"page=3 facet=who makes what where at what scale Issue Brief: Federal Support for EV Jobs in Georgia 3 Figure 1: EV Manufacturing Investment in Georgia by Date of Announcement Cumulative announced EV and battery manufacturing investment in Georgia by quarter since 2018, through April 24,","Issue Brief: Federal Support for EV Jobs in Georgia 3 Figure 1: EV Manufacturing Investment in Georgia by Date of Announcement Cumulative announced EV and battery manufacturing investment in Georgia by quarter since 2018, through April 24, 2024. Source: Clean Economy Tracker. Inflation Reduction Act IRA provides programmatic grants as well as incentives for domestic production of EVs and batteries through tax credits such as the Advanced Manufacturing Production Tax Credit (45X) and the Qualifying Advanced Energy Project Credit (48C). Round 1 allocations for 48C projects located in energy communities3 were announced on March 29, 2024, with 35 recip- ients self-disclosing project information. Mobis North America received $57.7 million for their Richmond Hill, Georgia, power electric systems manufacturing facility, which supplies components for Hyundai and Kia EVs. There are likely other EV projects in Georgia that will receive support that have chosen not to disclose funding. To illustrate the significance of these tax credits, the CEO of FREYR, a Norwegian battery company building a new $2.6 billion facility near Atlanta, stated that IRA made a “massive” 3 The U.S. Department"
CAND_85D8AF04E6_CHUNK_03,CAND_85D8AF04E6,Policy and Localization,Facet,who makes what where at what scale,page 5,1119,180,ollama:nomic-embed-text,768,2026-03-24,2026-03-24,1,Keep,68.12,0,68.12,"page=5 facet=who makes what where at what scale Issue Brief: Federal Support for EV Jobs in Georgia 5 importance of these laws as well, stating that the federal government “really made the con- ditions so that Georgia could be more attractive to EV producers. ” Georgia’s state government","Issue Brief: Federal Support for EV Jobs in Georgia 5 importance of these laws as well, stating that the federal government “really made the con- ditions so that Georgia could be more attractive to EV producers. ” Georgia’s state government has also heavily supported companies to invest in Georgia, with state and local governments granting at least $4 billion in subsidies and tax credits to entice larger investment and job creation. FREYR, for instance, received sales tax exemptions, tax credits, and grants from the state and county that amount to $358 million for the manufac- turer. Similarly, South Korean EV battery manufacturer SK On is receiving almost $300 mil- lion in tax credits as well as other incentives that add up to $641 million for its Bartow County facility. A final factor supporting the build out of a domestic supply chain is the Biden Administra- tion’s Build America, Buy America (BABA) standards. Written into IIJA, BABA enacts a “made in America” requirement for many infrastructure projects across both IIJA and IRA, including EV and charging infrastructure. Specifically, to access some"
